run,total_cost
1,39.100000000000115
2,32.300000000000075
3,30.600000000000065
4,6.799999999999998
5,30.600000000000065
6,40.800000000000125
7,25.500000000000036
8,6.799999999999998
9,30.600000000000065
10,13.599999999999989
11,50.000000000000185
12,39.100000000000115
13,16.999999999999986
14,35.700000000000095
15,30.600000000000065
16,35.700000000000095
17,37.400000000000105
18,1.7
19,1.7
20,13.599999999999989
21,34.000000000000085
22,32.300000000000075
23,34.000000000000085
24,25.500000000000036
25,5.1000000000000005
26,30.600000000000065
27,25.500000000000036
28,39.100000000000115
29,32.300000000000075
30,35.700000000000095
31,35.700000000000095
32,30.600000000000065
33,30.600000000000065
34,32.300000000000075
35,16.999999999999986
36,11.899999999999991
37,34.000000000000085
38,32.300000000000075
39,3.4000000000000004
40,10.199999999999994
41,13.599999999999989
42,50.000000000000185
43,32.300000000000075
44,39.100000000000115
45,16.999999999999986
46,32.300000000000075
47,35.700000000000095
48,40.800000000000125
49,39.100000000000115
50,10.199999999999994
51,32.300000000000075
52,28.900000000000055
53,32.300000000000075
54,30.600000000000065
55,23.800000000000026
56,6.799999999999998
57,20.400000000000006
58,28.900000000000055
59,13.599999999999989
60,34.000000000000085
61,37.400000000000105
62,20.400000000000006
63,30.600000000000065
64,32.300000000000075
65,18.699999999999996
66,32.300000000000075
67,30.600000000000065
68,32.300000000000075
69,30.600000000000065
70,28.900000000000055
71,34.000000000000085
72,20.400000000000006
73,13.599999999999989
74,34.000000000000085
75,25.500000000000036
76,20.400000000000006
77,32.300000000000075
78,27.200000000000045
79,32.300000000000075
80,28.900000000000055
81,32.300000000000075
82,8.499999999999996
83,34.000000000000085
84,27.200000000000045
85,32.300000000000075
86,1.7
87,35.700000000000095
88,32.300000000000075
89,25.500000000000036
90,40.800000000000125
91,28.900000000000055
92,30.600000000000065
93,28.900000000000055
94,1.7
95,39.100000000000115
96,23.800000000000026
97,32.300000000000075
98,25.500000000000036
99,39.100000000000115
100,30.600000000000065
